# LWT-PWN is the IDS/LWT concept list linked to Princeton WordNet 3.0 word sense identifiers.
#
# by Lars Borin
#
# version 1.0
# 2015-03-31
# 
# License: CC-BY 4.0 International <https://creativecommons.org/licenses/by/4.0/>
# 
# If you use this dataset or derivatives of it in publications,
# please cite:
#
# Lars Borin, Bernard Comrie, Anju Saxena 2013. The Intercontinental Dictionary Series –
# a rich and principled database for language comparison. In Lars Borin and Anju Saxena (eds.),
# Approaches to Measuring Linguistic Differences. De Gruyter Mouton. 285–302.
#
# @incollection{Borin-Lars2013-26,
#	title		= "The {I}ntercontinental {D}ictionary {S}eries -- a rich and principled database for language comparison",
#	booktitle	= "Approaches to Measuring Linguistic Differences",
#	author		= "Borin, Lars and Comrie, Bernard and Saxena, Anju",
#	editor		= {Borin, Lars and Saxena, Anju},
#	year		= "2013",
#	publisher	= "De Gruyter Mouton",
#	address		= "Berlin",
#	pages		= "285--302"
# }
#
# Data format:
# <IDS/LWT concept ID>tab<English gloss>tab<relation>tab<PWN word sense ID>tab<PWN definition>
# 
# <relation> is one of
# ss : synonym
# iu : hyponym/subordinate/narrower (A iu B = 'A is a hyponym of B')
# ui : hyperonym/superordinate/broader (A ui B = 'A is a hyperonym of B')
# Mappings to SALDO senses are not disambiguated in this version. Alternatives are separated by ":".
#
#
S01.210	the land	ss	land%1:17:00::	the solid part of the earth's surface; "the plane turned away from the sea and moved back over land"; "the earth shook for several minutes"; "he dropped the logs on the ground"
S01.212	the soil	ss	soil%1:17:00::	material in the top layer of the surface of the earth in which plants can grow (especially with reference to its quality or use); "the land had never been plowed"; "good agricultural soil"
S01.213	the dust	ss	dust%1:27:00::	fine powdery material such as dry earth or pollen that can be blown about in the air; "the furniture was covered with dust"
S01.214	the mud	ss	mud%1:27:00::	water soaked soil; soft wet earth
S01.215	the sand	ss	sand%1:27:00::	a loose material consisting of grains of rock or coral
S01.220	the mountain or hill	ui	mountain%1:17:00::	a land mass that projects well above its surroundings; higher than a hill
S01.220	the mountain or hill	ui	hill%1:17:00::	a local and well-defined elevation of the land; "they loved to roam the hills of West Virginia"
S01.222	the cliff or precipice	ui	cliff%1:17:00::	a steep high face of rock; "he stood on a high cliff overlooking the town"; "a steep drop"
S01.222	the cliff or precipice	ui	precipice%1:17:00::	a very steep cliff
S01.230	the plain	ss	plain%1:17:00::	extensive tract of level open land; "they emerged from the woods onto a vast open plain"; "he longed for the fields of his youth"
S01.240	the valley	ss	valley%1:17:00::	a long depression in the surface of the land that usually contains a river
S01.250	the island	ss	island%1:17:00::	a land mass (smaller than a continent) that is surrounded by water
